               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,           0.0052266,           0.0021161,          0.00046742,                   1,             0.99991,               0.995,               0.995,           0.0015399,          0.00072752,          0.00044326,             0.00307,             0.00307,             0.00307
                  37,           0.0051219,           0.0020931,          0.00045449,                   1,             0.99991,               0.995,               0.995,           0.0015153,          0.00071072,          0.00043057,            0.002872,            0.002872,            0.002872
                  38,           0.0048448,           0.0020057,          0.00042796,                   1,              0.9999,               0.995,               0.995,           0.0014946,          0.00069521,          0.00041447,            0.002674,            0.002674,            0.002674
                  39,           0.0046667,           0.0019429,          0.00040929,                   1,             0.99985,               0.995,               0.995,           0.0014677,          0.00068077,          0.00040001,            0.002476,            0.002476,            0.002476
                  40,            0.004318,           0.0018615,          0.00038042,                   1,             0.99984,               0.995,               0.995,           0.0014534,          0.00066717,          0.00038312,            0.002278,            0.002278,            0.002278
                  41,           0.0041785,           0.0018267,          0.00036139,                   1,             0.99984,               0.995,               0.995,           0.0014407,          0.00065657,          0.00036807,             0.00208,             0.00208,             0.00208
                  42,           0.0039295,           0.0017457,          0.00033545,                   1,             0.99984,               0.995,               0.995,           0.0014195,          0.00064393,          0.00035168,            0.001882,            0.001882,            0.001882
                  43,           0.0037164,           0.0016662,          0.00030839,                   1,             0.99984,               0.995,               0.995,            0.001402,          0.00063128,          0.00033537,            0.001684,            0.001684,            0.001684
                  44,           0.0035236,           0.0016094,          0.00028557,                   1,             0.99983,               0.995,               0.995,           0.0013769,          0.00061766,          0.00031993,            0.001486,            0.001486,            0.001486
                  45,           0.0032933,           0.0015654,          0.00025592,                   1,             0.99984,               0.995,               0.995,           0.0013615,          0.00060597,          0.00030374,            0.001288,            0.001288,            0.001288
                  46,           0.0030538,           0.0014801,          0.00022425,                   1,             0.99984,               0.995,               0.995,           0.0013446,          0.00059372,          0.00028663,             0.00109,             0.00109,             0.00109
                  47,           0.0028755,           0.0014263,          0.00019724,                   1,             0.99984,               0.995,               0.995,           0.0013325,          0.00058352,          0.00026975,            0.000892,            0.000892,            0.000892
                  48,           0.0026645,           0.0013573,          0.00016626,                   1,             0.99984,               0.995,               0.995,           0.0013204,          0.00057389,          0.00025218,            0.000694,            0.000694,            0.000694
                  49,           0.0025176,           0.0013179,          0.00013846,                   1,             0.99984,               0.995,               0.995,           0.0013079,          0.00056505,          0.00023396,            0.000496,            0.000496,            0.000496
