               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.011146,           0.0042514,           0.0012341,             0.99996,                   1,               0.995,             0.96337,            0.006668,           0.0022328,            0.001156,             0.00307,             0.00307,             0.00307
                  37,            0.011026,           0.0042613,           0.0012141,             0.99996,                   1,               0.995,             0.97899,           0.0060882,           0.0021492,           0.0011521,            0.002872,            0.002872,            0.002872
                  38,            0.010042,           0.0041033,           0.0011154,             0.99995,                   1,               0.995,             0.98036,           0.0058283,            0.002127,           0.0010286,            0.002674,            0.002674,            0.002674
                  39,           0.0097108,           0.0039574,           0.0010709,             0.99996,                   1,               0.995,             0.97963,           0.0053743,           0.0020051,           0.0009936,            0.002476,            0.002476,            0.002476
                  40,            0.009606,           0.0039823,           0.0010222,             0.99997,                   1,               0.995,             0.98983,           0.0049581,           0.0019546,           0.0009633,            0.002278,            0.002278,            0.002278
                  41,           0.0090737,           0.0038532,             0.00101,             0.99997,                   1,               0.995,             0.98624,           0.0048292,           0.0019596,           0.0009568,             0.00208,             0.00208,             0.00208
                  42,             0.00863,           0.0038917,          0.00094781,             0.99996,                   1,               0.995,             0.98638,           0.0049833,           0.0019707,          0.00086028,            0.001882,            0.001882,            0.001882
                  43,           0.0084976,           0.0038087,          0.00087203,             0.99996,                   1,               0.995,             0.99123,           0.0045967,           0.0018395,          0.00082717,            0.001684,            0.001684,            0.001684
                  44,           0.0078154,           0.0036046,           0.0008398,             0.99995,                   1,               0.995,             0.98984,           0.0042238,           0.0017955,          0.00076403,            0.001486,            0.001486,            0.001486
                  45,           0.0073742,           0.0035237,          0.00076942,             0.99996,                   1,               0.995,             0.98926,           0.0042888,           0.0018007,          0.00070101,            0.001288,            0.001288,            0.001288
                  46,           0.0069929,           0.0035474,          0.00071401,             0.99996,                   1,               0.995,             0.99072,           0.0041952,           0.0017706,          0.00065632,             0.00109,             0.00109,             0.00109
                  47,            0.006727,           0.0034977,          0.00067318,             0.99996,                   1,               0.995,             0.99148,            0.003909,           0.0017287,          0.00061227,            0.000892,            0.000892,            0.000892
                  48,           0.0065701,           0.0035134,          0.00062903,             0.99996,                   1,               0.995,             0.99097,           0.0037832,           0.0016724,          0.00057851,            0.000694,            0.000694,            0.000694
                  49,           0.0062321,           0.0033456,          0.00059956,             0.99997,                   1,               0.995,             0.99173,           0.0037448,           0.0016632,          0.00054875,            0.000496,            0.000496,            0.000496
